awardID,awardFixedID,awardCode,publishedYear,isHeading,wageAllowanceID,wageAllowanceFixedID,versionNumber,sourceWageAllowanceID,allowanceLookupCode,clauseID,clauseFixedID,clauseLookupID,clauses,clauseDisplayOrder,parentAllowance,allowance,type,isAllPurpose,rate,baseRate,basePayRateID,rateUnit,allowanceAmount,paymentFrequency,displayOrder,operativeFrom,operativeTo,lastModifiedDateTime
1442,1,MA000001,2023,0,19859,1,3,15427,10,36580,715,20,A.8.2(a),50,Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance,Detail,0,0.63,987.8,BR89758,Percent,6.22,per day or shift,1,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19860,2,3,15428,10,36580,715,20,A.8.2(a),50,Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—minimum payment,Detail,0,0.32,987.8,BR89758,Percent,3.16,minimum payment per day or shift,2,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19861,3,3,15429,10,36580,715,20,A.8.2(a),50,"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Water money,Detail,0,0.49,987.8,BR89758,Percent,4.84,per shift,3,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19862,4,3,15430,10,36580,715,20,A.8.2(a),50,An employee is engaged on shaft work,Shaft work (Electrical / Mechanical),Detail,0,0.59,987.8,BR89758,Percent,5.83,per shift,4,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19863,5,3,15431,10,36580,715,20,A.8.2(a),50,Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pumps); A minimum payment of one hour for work on pumps after removal from a pumping station or treatment works for cleaning or stripping,Shaft work (Electrical / Mechanical)—minimum payment,Detail,0,0.3,987.8,BR89758,Percent,2.96,minimum payment per day or shift,5,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19864,6,3,15432,10,36580,715,20,A.8.2(a),50,"Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",Dirty work,Detail,0,0.23,987.8,BR89758,Percent,2.27,per shift,6,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19865,7,3,15433,10,36580,715,20,A.8.2(a),50,"Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusually discomforting",Confined spaces allowance (Electrical/ Mechanical),Detail,0,0.08,987.8,BR89758,Percent,0.79,per hour,7,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19866,8,3,15434,10,36580,715,20,A.8.2(a),50,Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,Height money (Electrical/ Mechanical),Detail,0,0.23,987.8,BR89758,Percent,2.27,per shift,8,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19867,9,3,15435,10,36580,715,20,A.8.2(a),50,Where an employee is appointed as a first aid officer,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models),Detail,0,0.76,987.8,BR89758,Percent,7.51,per day or shift or attendance at or paid absence from work,9,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19868,10,3,15436,10,36580,715,20,A.8.2(a),50,Where an employee is appointed as a first aid attendant,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models),Detail,0,0.45,987.8,BR89758,Percent,4.45,per day or shift,10,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19869,11,3,15437,10,36580,715,20,A.8.2(a),50,Where an employee carries out pressure or x-ray standard welding on booms,Boom Welding allowance (does not apply to employees employed under the open cut work model),Detail,0,0.095,987.8,BR89758,Percent,0.94,per hour,11,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19870,12,3,15438,10,36580,715,20,A.8.2(a),50,An adult employee who works underground on any shift,Underground allowance (Electrical/ Mechanical),Detail,0,0.23,987.8,BR89758,Percent,2.27,per day or shift,12,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19871,13,3,15439,10,36580,715,20,A.8.2(a),50,Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per afternoon shift,Detail,0,0.43,987.8,BR89758,Percent,4.25,per afternoon shift (additional to the shiftwork rates),13,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,19872,14,3,15440,10,36580,715,20,A.8.2(a),50,Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per night shift,Detail,0,0.85,987.8,BR89758,Percent,8.4,per night shift (additional to the shiftwork rates),14,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,22007,12065,3,17580,8,36580,715,20,A.8.2(a),50,,Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Group,0,,,,,,,,2023/7/1,,2023/6/1 22:37
1442,1,MA000001,2023,0,22008,12066,3,17581,8,36580,715,20,A.8.2(a),50,,"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Group,0,,,,,,,,2023/7/1,,2023/6/1 22:37
