awardID,awardFixedID,awardCode,publishedYear,isHeading,employeeRateTypeCode,classificationID,classificationFixedID,versionNumber,sourceClassificationID,clauseID,clauseFixedID,clauseLookupID,clauses,clauseDescription,clauseDisplayOrder,parentClassificationName,classification,classificationLevel,nextDownClassificationFixedID,nextUpClassificationFixedID,type,baseRate,basePayRateID,baseRateType,calculatedRate,calculatedPayRateID,calculatedRateType,calculatedIncludesAllPurpose,displayOrder,operativeFrom,operativeTo,lastModifiedDateTime
1442,1,MA000001,2023,0,AD,142710,1,4,109456,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker – Induction Level 1,1,,2,Detail,969.2,BR89757,Weekly,27.69,CR25626,Hourly,0,1,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AD,142711,2,4,109457,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker – Induction Level 2,2,1,3,Detail,987.8,BR89758,Weekly,28.22,CR25627,Hourly,0,2,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AD,142712,3,4,109458,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker – Training,2,2,4,Detail,987.8,BR89759,Weekly,28.22,CR25628,Hourly,0,3,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AD,142713,4,3,109459,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker,3,3,5,Detail,1056,BR89760,Weekly,30.17,CR25629,Hourly,0,4,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AD,142714,5,4,109460,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker – Advanced,4,4,6,Detail,1106.9,BR89761,Weekly,31.63,CR25630,Hourly,0,5,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AD,142715,6,4,109461,36578,1,10,A.4,Production and Engineering Employees,10,,Mineworker – Specialised,5,5,,Detail,1220.7,BR89762,Weekly,34.88,CR25631,Hourly,0,6,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157244,90787,3,124152,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Apprentices other than adult apprentices,1st year of experience - 45,1,,90788,Detail,444.51,BR102460,Weekly,,,,0,2,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157245,90788,3,124153,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Apprentices other than adult apprentices,2nd year of experience - 60,2,90787,90789,Detail,592.68,BR102461,Weekly,,,,0,3,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157246,90789,3,124154,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Apprentices other than adult apprentices,3rd year of experience - 75,3,90788,90790,Detail,740.85,BR102462,Weekly,,,,0,4,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157247,90790,3,124155,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Apprentices other than adult apprentices,4th year of experience - 90,4,90789,,Detail,889.02,BR102463,Weekly,,,,0,5,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AA,157248,90791,4,124156,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Adult apprentices,1st year of apprenticeship - 80,1,,90792,Detail,790.24,BR102464,Weekly,,,,0,7,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AA,157249,90792,4,124157,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Adult apprentices,2nd year of apprenticeship - 90,2,90791,90793,Detail,889.02,BR102465,Weekly,,,,0,8,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AA,157250,90793,4,124158,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,Adult apprentices,3rd year of apprenticeship - 95,3,90792,,Detail,938.41,BR102466,Weekly,,,,0,9,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,,157242,90785,3,124150,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,,Apprentices other than adult apprentices,,,,Group,,,,,,,0,,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,,157243,90786,3,124151,36599,23036,175,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,20,,Adult apprentices,,,,Group,,,,,,,0,,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157253,90796,3,124161,36600,23037,176,A.6.8(b)(i),Production and Engineering Employees: Apprentice (other than adult apprentices) that commenced on or after 1 January 2014,30,Has not completed year 12,Stage 1 - 50%,1,,90797,Detail,493.9,BR102467,Weekly,,,,0,1,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157254,90797,3,124162,36600,23037,176,A.6.8(b)(i),Production and Engineering Employees: Apprentice (other than adult apprentices) that commenced on or after 1 January 2014,30,Has not completed year 12,Stage 2 - 60%,2,90796,90798,Detail,592.68,BR102468,Weekly,,,,0,2,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157255,90798,3,124163,36600,23037,176,A.6.8(b)(i),Production and Engineering Employees: Apprentice (other than adult apprentices) that commenced on or after 1 January 2014,30,Has not completed year 12,Stage 3 - 75%,3,90797,90799,Detail,740.85,BR102469,Weekly,,,,0,3,2023/7/1,,2023/6/2 08:37
1442,1,MA000001,2023,0,AP,157256,90799,3,124164,36600,23037,176,A.6.8(b)(i),Production and Engineering Employees: Apprentice (other than adult apprentices) that commenced on or after 1 January 2014,30,Has not completed year 12,Stage 4 - 90%,4,90798,,Detail,889.02,BR102470,Weekly,,,,0,4,2023/7/1,,2023/6/2 08:37
